Huntington-INDIANA	40.8833 -85.5000
Indianapolis-AP-INDIANA	39.7333 -86.2833
Jeffersonville-INDIANA	38.2833 -85.7500
Kokomo-INDIANA	40.4167 -86.0500
Lafayette-INDIANA	40.0333 -86.0833
La-Porte-INDIANA	41.6000 -86.7167
Marion-INDIANA	40.4833 -85.6833
Muncie-INDIANA	40.1833 -85.3500
Peru,-Grissom-AFB-INDIANA	40.6500 -86.1500
Richmond-AP-INDIANA	39.7667 -84.8333
Shelbyville-INDIANA	39.5167 -85.7833
South-Bend-AP-INDIANA	41.7000 -86.3167
Terre-Haute-AP-INDIANA	39.4500 -87.3000
Valparaiso-INDIANA	41.5167 -87.0333
Vincennes-INDIANA	38.6833 -87.5333
Ames-(S)-IOWA	42.0333 -93.8000
Burlington-AP-IOWA	40.7833 -91.1167
Cedar-Rapids-AP-IOWA	41.8833 -91.7000
Clinton-IOWA	41.8333 -90.2167
Council-Bluffs-IOWA	41.3333 -95.8167
Des-Moines-AP-IOWA	41.5333 -93.6500
Dubuque-IOWA	42.4000 -90.7000
Fort-Dodge-IOWA	42.5500 -94.1833
Iowa-City-IOWA	41.6333 -91.5500
Keokuk-IOWA	40.4000 -91.4000
Marshalltown-IOWA	42.0667 -92.9333
Mason-City-AP-IOWA	43.1500 -93.3333
Newton-IOWA	41.6833 -93.0333
Ottumwa-AP-IOWA	41.1000 -92.4500
Sioux-City-AP-IOWA	42.4000 -96.3833
Waterloo-IOWA	42.5500 -92.4000
Atchison-KANSAS	39.5667 -95.1167
Chanute-AP-KANSAS	37.6667 -95.4833
Dodge-City-AP-(S)-KANSAS	37.7667 -99.9667
El-Dorado-KANSAS	37.8167 -96.8333
Emporia-KANSAS	38.3333 -96.2000
Garden-City-AP-KANSAS	37.9333 -100.7333
Goodland-AP-KANSAS	39.3667 -101.7000
Great-Bend-KANSAS	38.3500 -98.8667
Hutchinson-AP-KANSAS	38.0667 -97.8667
Liberal-KANSAS	37.0500 -100.9667
Manhattan,-Ft-Riley-(S)-KANSAS	39.0500 -96.7667
Parsons-KANSAS	37.3333 -95.5167
Russell-AP-KANSAS	38.8667 -98.8167
Salina-KANSAS	38.8000 -97.6500
Topeka-AP-KANSAS	39.0667 -95.6333
Wichita-AP-KANSAS	37.6500 -97.4167
Ashland-KENTUCKY	38.5500 -82.7333
Bowling-Green-AP-KENTUCKY	35.9667 -86.4667
Corbin-AP-KENTUCKY	36.9500 -84.1000
Covington-AP-KENTUCKY	39.0500 -84.6667
Hopkinsville,-Ft-Campbell-KENTUCKY	36.6667 -87.4833
Lexington-AP-(S)-KENTUCKY	38.0333 -84.6000
Louisville-AP-KENTUCKY	38.1833 -85.7333
Madisonville-KENTUCKY	37.3167 -87.4833
Owensboro-KENTUCKY	37.7500 -87.0167
Paducah-AP-KENTUCKY	37.0667 -88.7667
Alexandria-AP-LOUISIANA	31.4000 -92.3000
Baton-Rouge-AP-LOUISIANA	30.5333 -91.1500
Bogalusa-LOUISIANA	30.7833 -89.8667
Houma-LOUISIANA	29.5167 -90.6667
Lafayette-AP-LOUISIANA	30.2000 -92.0000
Lake-Charles-AP-(S)-LOUISIANA	30.1167 -93.2167
